Date,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Crypto,Bond,Bond,Bond,Bond,Bond,Bond,Bond,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,Comms,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,FX,RE,RE,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
1/19/2016,3.35284E-05,0.152052,0.0232486,380.1489868,0.00303839,6.85238E-05,3.869610071,0.000121834,7.56E-08,0.280010015,0.000148104,1.371389985,0.898307025,0.00716312,0.00122962,3.017440081,0.018930201,0.063305803,0.388907999,0.00159889,0.00694022,0.394450009,2.17879E-05,2.16685009,1.90074E-05,0.000332074,1,0.019770101,0.535032988,0.000467764,0.00182633,0.545903981,0.00527071,9.22E-06,0.000148468,213.236,,9.278,210.1913,1.56,2.036,1.698,240.42,367.75,883.5,474.5,156.55,62.85,129.3,28.76,31.62,62.47,14.75,28.46,0.9087,30800,14.022,1086.72,499,823.74,0.6903,1.4576,1.0028,6.5783,6.8417,1.0905,1.4155,7.8187,67.7237,117.62,8.8061,0.6408,8.5383,207.57,167.12,24.16500092,109.8499985,68.54689026,149.699997,28.72400093,80.3199997,100.8697434,715,78.86000061,59.70999908,1772,127.7600021,22.89999962,5060,12.57999992,35.08950043,35.95399857,812,57.00999832,1153.06665,244.5,50.56000137,6.832499981,149.199997,1165,13.64799976,2934
1/20/2016,3.49779E-05,0.148069993,0.058200698,420.230011,0.00316297,0.000109663,4.77421999,0.000147607,3.39E-08,0.286244988,0.00016804,1.531820059,0.931940019,0.00771871,0.00138766,3.388530016,0.0172778,0.061420102,0.426075012,0.00173773,0.00712767,0.421824992,2.48022E-05,2.47935009,2.10115E-05,0.000370073,1,0.021182001,0.729399979,0.000605543,0.00182137,0.535094976,0.00538087,8.78E-06,0.000160101,210.0557,16.162,10.163,210.1495,1.65,1.982,1.623,234.49,368.75,874,471.5,155,62.725,127.25,27.88,30.39,61.97,14.18,26.55,0.8657,29750,14.161,1100.62,486,818,0.6906,1.4501,1.0041,6.5781,6.8533,1.0889,1.419,7.818,67.9475,116.91,8.8728,0.6429,8.5909,200.94,162.48,24.19750023,105.3000031,67.7199707,144.6000061,28.58849907,85.26000214,98.85234833,696.5,76.76999664,58.16999817,1735,124.8300018,21.79500008,4973,12.15999985,34.92250061,35.9280014,791.5,55.50999832,1130.666626,233.699997,50.79000092,6.869999886,144.3000031,1135,13.24666691,2832
1/21/2016,3.60051E-05,0.151379004,0.056420598,410.2619934,0.00307299,0.000094059,5.145569801,0.000151984,3.22E-08,0.271348,0.000163254,1.553570032,0.991765976,0.00720915,0.00154175,3.220779896,0.0164019,0.060423501,0.412847996,0.00168897,0.00683671,0.409657002,2.44746E-05,2.420550108,2.87183E-05,0.00034837,1,0.020847101,0.620128989,0.000468257,0.00173807,0.549362004,0.00531257,8.33E-06,,211.3834,16.152,10.184,210.392,1.548,2.019,1.673,240.92,367,878.5,475,158.675,63.75,130.25,29.25,29.81,62.09,14.45,29.53,0.8975,29600,14.06,1101.21,497,817,0.6996,1.4261,1.0069,6.5794,6.8613,1.0872,1.4217,7.8189,67.7895,117.68,8.7823,0.6524,8.5591,204.37,165.28,24.07500076,107.5,68.67861939,145.0500031,28.75099945,87.36000061,101.558609,715,78.69999695,58.43999863,1760,125.6200028,22.06500053,4959,12.55000019,35.32949829,36.33349991,788.5,55.25,1145.599976,235.8999939,50.47999954,6.949999809,146.1499939,1146,13.33133316,2877
1/22/2016,3.34779E-05,0.152558997,0.038214602,382.4920044,0.00304272,0.000137573,5.125520229,0.000144786,6.15E-08,0.269699991,0.000168246,1.501270056,1.040009975,0.0062861,0.00102797,3.076570034,0.0159379,0.059094898,0.387284011,0.00157062,0.00711785,0.393611014,2.11513E-05,2.316819906,2.29495E-05,0.000396978,1.000069976,0.0195785,0.605450988,0.000449899,0.00170393,0.536994994,0.00511437,1.51087E-05,,213.8459,16.155,9.525,210.7496,1.579,2.048,1.714,247.36,370.25,876.5,475.5,159.425,63,132.075,32.18,31.11,62.45,14.42,32.19,0.9957,31120,14.01,1097.91,507,829.5,0.7,1.4115,1.0156,6.5788,6.9091,1.0794,1.4263,7.7987,67.5388,118.77,8.7341,0.649,8.5764,213.72,171.91,25.35499954,111.449997,70.53005219,148.1499939,29.81900024,90.36000061,103.8712311,730.5,79.70999908,59.61000061,1800,127.0400009,22.45000076,5035,12.97000027,36.26250076,37.27299881,811,56.95000076,1165.866577,238,52.29000092,7.112500191,150.5,1186,13.50333309,2919
1/25/2016,3.48881E-05,0.149610996,0.030080101,391.7260132,0.00314183,8.22931E-05,4.017499924,0.000133256,6.25E-08,0.273012012,0.000211721,2.499269962,0.971197009,0.00626824,0.00176342,3.127279997,0.0184939,0.060035002,0.399055004,0.00178302,0.00765948,0.398615003,2.17158E-05,2.154489994,2.35036E-05,0.000359193,1.000010014,0.022249,0.603860974,0.000378675,0.00170946,0.581354022,0.00513465,8.63E-06,0.00015283,214.5907,16.151,9.504,210.8764,1.561,2.022,1.689,245.04,369.75,880.5,481.5,160.225,63.525,131.425,30.5,29.8,61.6,14.1,30.34,0.9353,33310,14.239,1107.66,494,858.1,0.6954,1.4289,1.0123,6.579,6.8782,1.0847,1.4247,7.7941,67.7453,118.28,8.7518,0.645,8.5643,214.93,172.25,24.86000061,112.5500031,69.95193481,147.699997,29.82649994,89.72000122,104.1172562,735,78.91999817,60.18000031,1803,124.1299973,22.45000076,5085,12.81000042,35.58349991,36.68099976,820.5,55.65999985,1166.93335,234.699997,51.79000092,7.105000019,152.1000061,1189,13.09200001,2950.5
1/26/2016,3.15466E-05,0.151633993,0.0297164,392.1530151,0.00356195,0.000105951,4.51816988,0.0001518,3.18E-08,0.262688011,0.000356273,2.276370049,1.302659988,0.00664513,0.00152647,3.154819965,0.0198643,0.060291499,0.404603988,0.0017901,0.00862472,0.424356014,2.32151E-05,2.352920055,2.35292E-05,0.000549388,1,0.044365101,0.674694002,0.000417654,0.00190145,0.584981978,0.005419,1.56268E-05,0.000153552,214.9315,16.152,9.652,211.0484,1.513,1.996,1.693,249.79,369.25,876.5,484.75,161.1,64.325,133.025,31.8,30,61.41,14.02,31.45,0.9677,32230,14.5,1120.17,500,874.53,0.7002,1.4114,1.0165,6.5814,6.8644,1.0869,1.435,7.7935,67.7293,118.41,8.694,0.6497,8.5356,215.02,172.2,24.99749947,112.949997,70.04706574,147.1000061,30.0625,90.19000244,103.6744156,733,79.40000153,60.38999939,1800,125.8899994,22.4449997,5135,13.07999992,35.65200043,36.6894989,819,57.08000183,1160.533325,235.3999939,52.16999817,7.175000191,152.5500031,1173,12.90400028,2955.5
1/27/2016,3.26956E-05,0.151775003,0.041312899,394.9719849,0.00399174,0.000173847,4.195809841,0.000165121,6.74E-08,0.262528986,0.000455076,2.388550043,1.333189964,0.00633167,0.00140185,3.287450075,0.0237008,0.057209101,0.431355,0.00161203,0.0120287,0.468894005,2.57648E-05,2.843800068,2.36983E-05,0.000582439,1,0.106709003,0.729562998,0.000421868,0.00223477,0.610870004,0.00650588,1.96783E-05,0.000169896,215.4458,16.152,9.901,211.2134,1.502,2.003,1.711,248.78,369.25,883,476.5,160.925,65.375,135.725,33.1,30.71,60.86,13.58,32.3,1.0252,34230,14.478,1125.19,494,880,0.7025,1.4091,1.0145,6.5773,6.8511,1.0891,1.4229,7.795,68.1337,118.66,8.6598,0.643,8.5089,212.55,170.57,23.35499954,114,69.57872009,147.5,29.16749954,89.70999908,103.3791885,730,79.95999908,61.43999863,1819,125.1900024,22.53000069,5245,13.14000034,34.99950028,35.87900162,828,57.04000092,1158.400024,237.3999939,51.22000122,7.090000153,154.25,1199,12.53800011,3005
1/28/2016,3.87323E-05,0.151575998,0.069148801,380.2890015,0.00374794,0.000159733,4.224009991,0.000170507,3.12E-08,0.256693006,0.000344136,2.526489973,1.100409985,0.00597445,0.00139878,3.120160103,0.021692799,0.059254501,0.41317901,0.00170762,0.009121,0.440447986,2.28642E-05,2.662019968,2.28173E-05,0.000478076,0.999998987,0.058735099,0.680950999,0.000395808,0.00190757,0.563129008,0.00622596,1.50894E-05,0.000174945,216.0477,16.152,9.839,211.6597,1.498,1.985,1.674,248.08,365.5,867.75,472.25,161.3,65.3,135.425,33.89,31.58,61.36,13.25,33.22,1.0309,35170,14.23,1114.74,499,860.5,0.7084,1.4027,1.0134,6.5744,6.8214,1.0937,1.4357,7.7934,68.0427,118.81,8.6109,0.6478,8.506,211.67,169.69,23.52249908,112,69.24941254,144.6499939,31.76749992,89.80999756,100.3284912,721.5,77.62000275,61.27999878,1803,126.0100021,22.15500069,5270,13.17000008,36.54800034,37.41500092,818,57.27999878,1138.133301,234.3000031,52.06000137,7.012499809,152.8000031,1189,12.64666653,2966.5
1/29/2016,3.73376E-05,0.145693004,0.060342502,379.473999,0.00345292,0.000155755,4.389729977,0.000193745,9.33E-08,0.263976008,0.000316405,2.49496007,1.012949944,0.00569601,0.00143958,3.1113801,0.019389,0.0604572,0.407207012,0.00156895,0.00874193,0.440131009,2.02472E-05,2.581559897,3.03579E-05,0.000549726,0.999978006,0.040988199,0.671778023,0.00043166,0.00188779,0.518249989,0.00683954,1.48773E-05,0.000159554,216.7884,16.154,9.688,212.3903,1.418,1.93,1.562,251.22,372,882.25,479.25,157.25,65.8,135.3,34.74,30.59,61.13,13.14,33.62,1.0551,37060,14.259,1117.64,501,870.4,0.7082,1.3971,1.0227,6.5752,6.8873,1.0834,1.4245,7.7801,67.8677,121.03,8.6742,0.6469,8.5789,218.03,174.38,24.33499908,115.8499985,69.6811676,148.6499939,29.35000038,91.83999634,101.7554245,740,76.66000366,63.45000076,1868,129.7700043,22.77000046,5405,13.27999973,37.14749908,38.06750107,836.5,59.5,1168,243.5,55.09000015,7.322500229,157.5500031,1230,12.74666691,3085
2/1/2016,3.69868E-05,1.063189983,0.057289001,373.0559998,0.00337001,0.000115612,4.120069981,0.00016407,3.07E-08,0.238640994,0.000270234,2.211689949,0.831287026,0.0055483,0.00118662,3.07723999,0.0193014,0.057548299,0.401468992,0.00154025,0.00800264,0.416951001,1.74591E-05,2.366290093,2.23765E-05,0.000451175,0.999969006,0.0382399,0.647077024,0.00050697,0.0017923,0.497961998,0.00654171,1.53332E-05,0.000115612,216.5341,16.151,9.562,212.2821,1.472,1.966,1.625,256.92,371.25,880.75,475.25,157.775,65.35,135.675,34.24,29.39,61.79,12.83,31.62,1.0365,36630,14.32,1128.46,502,869.66,0.711,1.3945,1.0192,6.5778,6.8534,1.0886,1.4429,7.7771,67.8251,120.97,8.6876,0.6545,8.5255,217.36,175.09,24.10750008,116.1500015,69.41772461,147.5,28.7404995,92.23999786,100.9189453,748.5,75.47000122,63.34999847,1868,128.6600037,22.51499939,5365,13.14000034,37.59999847,38.53850174,828.5,58.86000061,1178.666626,240.1000061,54.70999908,7.324999809,157.449997,1228,13.12933254,3071.5
